run_id,swept_param,swept_value,obs_mode,resample_method,event_start,event_end,obs_peak_m3s,sim_peak_m3s,peak_error_m3s,peak_error_pct,obs_peak_time,sim_peak_time,peak_timing_error_hr,obs_volume_m3,sim_volume_m3,volume_error_pct,rmse_m3s,nse,pbias_pct,kge,kge_r,kge_alpha,kge_beta,kge_gamma,kge_2012,threshold_m3s,first_arrival_error_min,rising_limb_steepness_ratio,time_to_peak_from_exc_min,duration_above_thresh_error_min,recession_rate_ratio,Ks_mult,f_RS_abs,As_value,Au_value,thetaS_mult,optpercolation,channelconductivity_mmhr,channelporosity,kinemvelcoef,flowexp,channelroughness,channelwidthcoeff,truth_label,truth_Ks_mult,truth_f_RS_abs,truth_kinemvelcoef,truth_flowexp,truth_channelroughness
SMF_20140812_70_lhs009_Ks8p777366x_f0p018172_Ks8p777366x_f0p018172,crossversion_compare_tribs6,8.777365679530932,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,47.1567,63.55086666666666,16.394166666666663,34.76529669520272,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,105010.58000000002,138304.06999999998,31.704891069071284,3.562022405087174,0.6354294742659985,31.704891069071323,0.4347724010668861,0.9515982965543354,1.4654240023130345,1.317048910690713,1.1126572372657804,0.6600670804776799,2.357835,0.0,1.9123306881398296,-10.0,-5.0,1.2028027500413974,8.777365679530932,0.0181716984239769,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs009_Ks8p777366x_f0p018172,8.777365679530932,0.01817169842397694,4.5,0.24,0.026
SMF_20140812_70_lhs010_Ks10p531052x_f0p004082_Ks10p531052x_f0p004082,crossversion_compare_tribs6,10.531052468797034,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,20.4858,33.609700000000004,13.123900000000004,64.06340001366802,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,43738.60999999999,76873.53000000001,75.75668271122477,2.449825875906104,0.013712866074601,75.75668271122473,-0.1192533579384256,0.9234167430786586,1.820338702290001,1.7575668271122475,1.0357152139022163,0.2377349087845625,1.02429,-5.0,2.2324687721216567,-5.0,0.0,1.2085705835662028,10.531052468797034,0.0040820789203744,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs010_Ks10p531052x_f0p004082,10.531052468797034,0.004082078920374423,4.5,0.24,0.026
SMF_20140812_70_lhs011_Ks8p057546x_f0p004659_Ks8p057546x_f0p004659,crossversion_compare_tribs6,8.057546048032265,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,32.8578,44.26513333333334,11.40733333333334,34.7172766689594,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,65361.92,93705.72000000002,43.36439321243932,2.570551053818197,0.5981303486549512,43.3643932124393,0.3826178235167029,0.9286785914153712,1.433620742871524,1.433643932124393,0.9999838249565672,0.5605300881147461,1.64289,-5.0,1.7068062719599923,-5.0,-5.0,1.170867349201998,8.057546048032265,0.0046594621543479,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs011_Ks8p057546x_f0p004659,8.057546048032265,0.004659462154347932,4.5,0.24,0.026
SMF_20140812_70_lhs012_Ks6p114426x_f0p00854_Ks6p114426x_f0p00854,crossversion_compare_tribs6,6.114425722110782,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,54.241,62.4759,8.234900000000003,15.182057852915698,2014-08-12 19:00:00,2014-08-12 18:45:00,-0.25,109955.85000000002,129129.82,17.43788074940985,3.021955891351089,0.8087103169934049,17.43788074940987,0.7168942564633486,0.940922351159284,1.2150598170924298,1.1743788074940986,1.034640449349675,0.8126551366416515,2.71205,-5.0,1.7397167029407743,-10.0,-5.0,1.0163359218254564,6.114425722110782,0.0085403367081279,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs012_Ks6p114426x_f0p00854,6.114425722110782,0.008540336708127927,4.5,0.24,0.026
SMF_20140812_70_lhs013_Ks4p637671x_f0p007666_Ks4p637671x_f0p007666,crossversion_compare_tribs6,4.63767093915506,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,58.593,68.4774,9.8844,16.86959193077671,2014-08-12 19:00:00,2014-08-12 18:45:00,-0.25,122279.09,143206.72,17.11464323131617,3.3479106444832096,0.8063660427236824,17.114643231316162,0.7247639839328361,0.9380144260053284,1.206449877363857,1.1711464323131615,1.0301443475184966,0.8154952727860655,2.9296500000000005,-5.0,1.648604512664078,-10.0,-5.0,1.0217108367264496,4.63767093915506,0.0076664878052577,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs013_Ks4p637671x_f0p007666,4.6376709391550595,0.007666487805257702,4.5,0.24,0.026
SMF_20140812_70_lhs014_Ks3p309582x_f0p010393_Ks3p309582x_f0p010393,crossversion_compare_tribs6,3.309582419422385,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,71.9182,81.7296,9.811400000000006,13.64244377640153,2014-08-12 19:00:00,2014-08-12 18:45:00,-0.25,164465.47000000003,178421.47,8.485671794815026,4.050179374638814,0.8340225365655667,8.485671794815044,0.8201366688346483,0.9369613432056292,1.14552073071053,1.0848567179481503,1.0559189169949714,0.8804112877013013,3.59591,0.0,1.829767474128868,-15.0,-10.0,0.9205812666196292,3.309582419422385,0.0103927647133113,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs014_Ks3p309582x_f0p010393,3.3095824194223855,0.010392764713311398,4.5,0.24,0.026
SMF_20140812_70_lhs015_Ks9p090895x_f0p022389_Ks9p090895x_f0p022389,crossversion_compare_tribs6,9.09089548871391,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,35.1195,60.9332,25.8137,73.50247013767279,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,84627.98,135444.61000000002,60.04707899207806,4.255047462967053,0.0724441831844701,60.04707899207805,-0.0531100143664347,0.9582886116638916,1.8641387000325007,1.6004707899207808,1.1647439689447696,0.3759442454646481,1.7559750000000005,0.0,2.483194296765704,-10.0,0.0,1.235831437479137,9.09089548871391,0.0223887602701658,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs015_Ks9p090895x_f0p022389,9.09089548871391,0.022388760270165876,4.5,0.24,0.026
SMF_20140812_70_lhs016_Ks9p621834x_f0p02724_Ks9p621834x_f0p02724,crossversion_compare_tribs6,9.621833914806334,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,25.7123,57.830466666666666,32.11816666666667,124.91362758938978,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,62397.11,131473.36,110.70424575753586,5.02089068439574,-1.537038831075614,110.7042457575359,-0.8540602873678116,0.9526610323124204,2.48652466123445,2.107042457575359,1.180101830551518,-0.1225954970977851,1.285615,0.0,3.240832406580481,-10.0,0.0,1.2043883245827325,9.621833914806334,0.0272397508425257,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs016_Ks9p621834x_f0p02724,9.621833914806334,0.02723975084252575,4.5,0.24,0.026
SMF_20140812_70_lhs017_Ks8p529105x_f0p005631_Ks8p529105x_f0p005631,crossversion_compare_tribs6,8.529104645308333,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,32.4753,45.10123333333333,12.625933333333336,38.878573356776805,2014-08-12 19:00:00,2014-08-12 18:50:00,-0.1666666666666666,65228.67,93253.57000000002,42.96408312479777,2.6551629061339583,0.5563595125235079,42.96408312479774,0.3512640623125304,0.9316128804022644,1.4812382724232478,1.4296408312479778,1.036091191610853,0.5634560547731539,1.623765,-5.0,1.7615601757470634,-5.0,-5.0,1.2389573814162702,8.529104645308333,0.0056305779871212,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs017_Ks8p529105x_f0p005631,8.529104645308333,0.005630577987121263,4.5,0.24,0.026
SMF_20140812_70_lhs018_Ks6p780154x_f0p011742_Ks6p780154x_f0p011742,crossversion_compare_tribs6,6.780154375158227,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,56.8182,66.3367,9.518499999999996,16.75255463918251,2014-08-12 19:00:00,2014-08-12 18:45:00,-0.25,117013.02999999998,138712.39,18.54439629501093,3.4820510717373434,0.7673335724507053,18.544396295010912,0.6802801294175067,0.9330554632033864,1.2516937846744167,1.1854439629501092,1.0558860847031837,0.7950749188971588,2.84091,-5.0,1.7645140206186711,-10.0,-5.0,1.0420664893953904,6.780154375158227,0.011741784192189,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs018_Ks6p780154x_f0p011742,6.780154375158227,0.011741784192189077,4.5,0.24,0.026
SMF_20140812_70_lhs019_Ks4p478947x_f0p019724_Ks4p478947x_f0p019724,crossversion_compare_tribs6,4.478947211623745,synth,interpolate,2014-08-12 16:00,2014-08-13 12:00,76.2863,83.3077,7.0214,9.204011729497957,2014-08-12 19:00:00,2014-08-12 18:45:00,-0.25,173882.8,188857.99,8.61223191713039,4.451860685443297,0.8162179515606447,8.612231917130389,0.8156896166764296,0.9294584278253972,1.146891627183352,1.0861223191713036,1.0559507036540916,0.8754060655421116,3.814315,0.0,1.7550149343915444,-15.0,-10.0,1.085403768333002,4.478947211623745,0.019723997581918,1.0,1.0,,0,70,0.4,4.5,0.24,0.026,2.33,lhs019_Ks4p478947x_f0p019724,4.478947211623745,0.01972399758191801,4.5,0.24,0.026
